index,推荐博主名称,博主涉及领域,平台及链接,推荐人ID,推荐理由,推荐时间
178,DD第二代,性教育,[B站](https://space.bilibili.com/390244162),CNtei,我的梦想是，至少(首先)得让全中国几千万性少数群体，每个人都看过我的视频！,2021-12-15 21:21:36
179,北师大刘文利,性教育,[B站](https://space.bilibili.com/1535016452),CNtei,北京师范大学教授、儿童性教育专家,2021-12-15 20:42:38
180,夹性芝士,性教育,[B站](https://space.bilibili.com/326081112),CNtei,去你的野生X教育，是时候认真谈X了！,2021-12-15 21:31:15
181,夹性芝士,性知识科普,[B站](https://space.bilibili.com/326081112),并不像当学霸的学霸, ,2021-12-15 21:42:21
182,_源姨_,情感,[B站](https://space.bilibili.com/207702731),CNtei,喜欢探究人心和人性,2021-12-15 21:11:14
183,男闺蜜kz,情感,[B站](https://space.bilibili.com/1021770972),CNtei,情感区搞笑up主,2021-12-15 20:26:46
184,工业设计,想哥的工业设计,[B站](https://space.bilibili.com/454327927),紫小圣,工业设计视觉动力的作者，B站更了视觉动力的视频。个人觉得算不上非常优秀，但好在自成体系。,2022-04-12 11:00:47
185,四六级 考研 专升本课程,我是瑞斯拜,B站,Balter_Lettor,四六级冲分计划看他没错 预测四级作文和翻译很厉害, 
186,无,我是黄鸭兄,[B站](https://space.bilibili.com/390513216),琉 蓝,书籍解读角度、观点、剖析很独到,2022-02-26 21:44:35
187,数据分析基础入门,戴戴戴师兄,[B站](https://space.bilibili.com/86758610),_Lucas_, ,2022-02-09 16:18:57
188,_碳十二_,所有,B站,87310336602_bili, , 
189,Topbook,提升效率,[B站](https://space.bilibili.com/29959830),Sobriety,效率up,2021.1.1.19
190,tengusan,摄影/艺术/审美,B站,年七am,来看看真正的“摄影”是什么样子,2021-12-19 09:23:41
191,夜行抹茶,摄影、旅行,[B站](https://space.bilibili.com/1327845),西方塞马, , 
192,卢克文工作室,政史与社会见解,[B站](https://space.bilibili.com/438173577),天明,对古今中外政坛人物与社会现象有着独到的见解，还不时具有趣味性,2021-12-21 19:13:19
193,王骁Albert,政治/国际关系,[B站](https://space.bilibili.com/52165725),怎样起一个名字呢,由于和观察者网有合约，2021年没有更新，不过明年就会复出了。他的《骁话一下》真的很好看，播放量也很高,2021-12-19 17:26:30
194,沈逸老师,政治，国际关系,B站,刘露文,特别特别厉害的一个老师，我对政治中美关系一点都没兴趣，但是每次沈逸老师的视频都会看，特别有趣,2021-12-16 17:51:24
195,cocopolaris,教师资格证,[B站](https://space.bilibili.com/449144107),酸奶泡泡龙, ,2021-12-29 22:17:00
196,杨一呦,教育学&社会&心理,[B站](https://space.bilibili.com/511582432),我以诗心化我心,老师讲课非常温柔，还可以学到一些为人处世的道理，适合放松。,2021-12-18 21:07:45
197,3Blue1Brown,数学,[B站](https://space.bilibili.com/88461692),CNtei,深入浅出、直观明了地分享数学之美,2021-12-15 21:35:59
198,3blue1brown,数学,[B站](https://space.bilibili.com/88461692),田柾国家大哥,具象化数学，值得一看,2021-12-23 22:19:23
199,Frank-FuckPPT,数学,B站,Sobriety,讲的很好，up极其优秀，打破了死板教学，学计算机必看,2021.1.1.19
200,Solara570,数学,[B站](https://space.bilibili.com/3557916),CNtei,3Blue1Brown翻译团队成员，频道现主攻原创,2021-12-15 21:37:38
201,一数,数学,[B站](https://space.bilibili.com/14229967),神奇海螺1, ,2021-02-08 00:00:00
202,会放羊的教书匠,数学,[B站](https://space.bilibili.com/44980991),神奇海螺1, ,2021-02-08 00:00:00
203,佟大大还是ETT,数学,[B站](https://www.bilibili.com/video/BV1fJ411R73E),不染, , 
204,一数,数学竞赛,[B站](https://space.bilibili.com/14229967),sin,基础，扎实，经典，拔高,2021-02-08 00:00:00
205,孙兴华zz,数据分析,[B站](https://space.bilibili.com/437239552),blue-area,孙兴华大佬是一位秉承着开源精神的数据分析师，他会用通俗易懂的语言讲解从VBA到python一系列数据分析和办公自动化的课程，包括MySQL、PowerBI、Access这类“奇技淫巧”他都会，像一个全能的数据分析战士，希望各位好好珍惜这位大佬！,2021-12-18 13:53:49
206,老师好我叫何同学,数码区up主,B站, ,95后北邮大学生数码区天花板,2021-08-20 00:00:00
207,思维实验室,文化,[B站](https://space.bilibili.com/14583962),KnightWJD,每个视频全程干货，给人的启发很大，并且什么方面的知识都会去科普,2020-01-16 00:00:00
208,義北偏北,文史哲,B站, ,上传文史哲类公开课,2021-08-20 00:00:00
209,天真的和感伤的小说家,文学,[B站](https://space.bilibili.com/314521322),荷梓,讲各种文学作品，视频幽默有趣，从中有很多思考,2020-01-16 00:00:00
210,歐麗娟,文学,[B站](https://space.bilibili.com/1867363969),CNtei,台湾大学中文系教授,2021-12-15 20:44:12
211,大门ZRR,文学/评论,[B站](https://space.bilibili.com/700380991),光脉之酒,“不专业，不客观，不中立，不跪舔”，嬉笑怒骂，评论小说。有潜力在知识区开辟一个新的专区。,2021-12-17 21:29:27
212,纪录片我去看世界,旅行,B站,青蛙外婆,知名的旅行UP主，记录了一路旅行的见闻，朝鲜、非洲、马达加斯加、欧洲。。疫情不能出国旅行，咱们跟着视频去旅行吧~, 
213,五,无,其他,Karsa, , 
214,科研人绘图软件,无,[B站](https://space.bilibili.com/587039260),热愛可抵岁月漫長-,科研人绘图软件，比如：Origin、arcgis等, 
215,hero3046,日语,[B站](https://space.bilibili.com/65988295),琰の紅蓮,"讲的挺好,推荐他的一个文法查询的Excel,去他qq群看公告里有,具体是什么东西看这个视频https://www.bilibili.com/video/av26959498",2021-08-02 00:00:00
216,yuka老师,日语,[B站](https://space.bilibili.com/485503730),妖怪测谎仪, ,2021-02-07 00:00:00
217,秋山燿平,日语,[B站](https://space.bilibili.com/229740315),CNtei,会说10种语言东京大学，曾出演秋刀鱼的东大方程式,2021-12-15 21:30:02
218,秋爸是奶爸,日语,B站,传说真相,搬运各种日语综艺，但是只有日语字幕，想学习日语，提高日语听力的人的福音。, 
219,葉子先生桑,日语,[B站](https://space.bilibili.com/10957838),小鳥遊ＬＦ,对于那些想学日语 或者参加日语高考的小伙伴们这个可以去康康,2021-02-08 00:00:00
220,hero3046,日语学习,[B站](https://space.bilibili.com/65988295),milayna,系统，生动有趣，内涵丰富，老师背景知识深厚,2021-12-21 18:57:57
221,我孙子飞鱼,日麻,[B站](https://space.bilibili.com/2899425),CNtei,日本麻将教学,2021-12-15 21:15:44
222,AHALOLO,时尚,[B站](https://space.bilibili.com/353368172),Vigi,时尚区的科普博主吃瓜博主和得罪博主（哈哈哈），视频内容主要是时尚品牌科普、季度大秀解析、时尚圈吃瓜等等等等，入股不亏啊家人们！！！,2022-01-02 18:25:40
223,季绝学,时政,[B站](https://space.bilibili.com/17066854),光脉之酒,一盏茶的时间告诉你今天地球上发生了啥，看看历史上的明天发生了啥。,2021-12-17 21:36:45
224,如何系统学习英语,昂克英文君,[B站](https://www.bilibili.com/video/BV1jE41157bX),blues,千万不要以为这个视频的名字很扯就退出了，看完这个视频后你就清楚学英语的一切了，一点都没夸张，是提升英语的综合能力，能力上去后，什么考试都好讲，而且不是应试学习，很有乐趣,2022-04-04 19:32:40
225,调侃企业发展史,曹小灵比比叨,[B站](https://space.bilibili.com/298753342),笨笨！,历史总是惊人的相似，在吐槽同了解你身边的企业,2022-03-12 23:05:50
226,小透明明TM,有用的,[B站](https://space.bilibili.com/192090),1992_1989, ,2021-12-17 22:16:37
227,DR.CAN,机器人学与控制 / SCI论文写作,[B站](https://space.bilibili.com/230105574),鲁迅有一块朽木疙瘩,对于学控制的研究生群体很有帮助，不仅能有滋有味滴学到控制科学相关的课程，甚至能教你SCI论文写作（宝藏博主甚至还用现代控制理论去分析爱情，这样的宝藏博主绝对爱了！,2021-02-08 00:00:00
228,致敬大神,机器学习,[B站](https://space.bilibili.com/230105574),晨曦,up主把她所读过的书籍结合自己的理解拍成教学视频，对人工智能感兴趣的小伙伴可以看她的视频入门,2021-02-08 00:00:00
229,机械百宝箱,机械制图 soildworks零件图学习,[B站](https://www.bilibili.com/video/BV1df4y1z7iR),编剧不要写死我啊,在会soildworks一些基础后缺乏图纸的绘画，可参考学习，并附带作图过程,2021-12-19 23:15:26
230,帆雨动画,机械原理,B站,Thello,机械原理小动画，非常神奇。,2021-02-07 00:00:00
231,一点创绘工作室,机械类大学生技能竞赛的讲解、Solidworks教程,B站,彼得-施特拉塞,本人就是看他的视频并且参加的技能竞赛，学习到很多使用技巧，建议机械专业的大学生看一下,2021-12-15 20:11:16
232,思维实验室,杂系知识区up主,[B站](https://space.bilibili.com/14583962),于阳阳阳阳,从历史到科技，从宗教到人体，不一样的知识让人眼前一亮,2021-12-16 19:41:07
233,不正经老丝,杂谈,[B站](https://space.bilibili.com/378885845),zoe,动漫、医学、辟谣、历史都有，最近几期视频是关于语文历史的，相比起初中高中的语文课，讲得很透彻,2020-01-17 00:00:00
234,有轶见的Kris,杂谈,B站,24爵,知识类别多，时政、历史、人文、军事、情感，观点清奇，角度刁钻,2021-12-16 17:20:01
235,肝帝董佳宁,杂谈,B站,24爵,知识类别丰富，涉及时政、历史、人文、军事等等领域，观点独到，轻松幽默,2021-12-16 17:16:59
236,《英语学习》,杨亮讲英文,[B站](https://space.bilibili.com/298786044),---boom,幽默、帅气又学识渊博的英语博主，每个视频里都有干货。,2022-02-13 22:42:50
237,文学理论课程全集 共32讲 2019年秋,杨宁,[B站](https://www.bilibili.com/video/BV1LE411e7NE),春水煎茶,杨老师的文学理论课真的浅入深出，无论是中文系的学生还是非中文系的学生看了都会有收获,2022-02-16 10:29:29
238,天冬Asp,植物科普,[B站](https://space.bilibili.com/338235854),远志学,植物科普，风趣幽默,2021-01-19 00:00:00
239,心理,武志红,B站,汇来吧唧,武志红的视频都是精品, 
240,底层原理,毒品和药物,[B站](https://space.bilibili.com/26606146),流浪中的路人,我觉得可以让大家多多了解了解毒品和药物方面的知识, 
241,求职救星瑞秋姐姐,求职教育,[B站](https://space.bilibili.com/471151393),北大学长,很厉害的一个500强HR分享求职技巧,2021-02-08 00:00:00
242,备胎说车,汽车,[B站](https://space.bilibili.com/50063223),CNtei,比喻狂魔 论文说车,2021-12-15 21:39:58
243,碳十二,法学,B站,枫, ,2021-12-22 21:01:32
244,罗翔说刑法,法律,[B站](https://space.bilibili.com/517327498),碳十二, ,2021-01-15 00:00:00
245,GoldenEggs,游戏,[B站](https://space.bilibili.com/13337125),多折脑褶,主要以MC为载体做一些有意思的东西，视频互动游戏等,2021-12-20 02:50:48
246,蓝二烟,游戏,[B站](https://space.bilibili.com/7206526),多折脑褶,游戏解说,2021-12-20 02:54:27
247,森纳映画,游戏/军事,[B站](https://space.bilibili.com/1724598),CNtei,向真理和自由，无名的献身。《不止游戏》系列节目作者,2021-12-15 21:47:37
248,中医基础理论,潘毅,B站,绝尘ing,潘毅教授针对普通非专业认识出的中医基础理论，有助于自己及家人朋友的养生保健。,2022-03-06 15:02:07
249,爬行天下,爬行动物,[B站](https://space.bilibili.com/35853609),光脉之酒,楼主，爬行动物爱好者，致力于科普和保护爬行动物。,2021-12-17 20:33:55
250,沈奕斐,爱情/社会学,[B站](https://space.bilibili.com/349092963),略略,从社会学的角度向我们分析两性关系，可以让你在女性，在两性关系，在从爱情到婚姻的整个话题上都有很多的启发，帮助你打开对两性关系的想象,2020-01-16 00:00:00
251,HuangFuRen,物理,[B站](https://space.bilibili.com/23630128),sin,适合高一至高三,2021-02-08 00:00:00
252,萌萌战队,物理,[B站](https://space.bilibili.com/357669580),光脉之酒,激流区up主，用营销号的声音让营销号无路可走，留言终结者，“萌萌战队”这个名称和硬核的内容形成反差萌。（注：据说这个账号背后是一个神秘的团队）,2021-12-17 21:23:44
253,茂的模,物理/影视鉴赏,[B站](https://space.bilibili.com/485256303),光脉之酒,B站知名催眠区up主。高能物理，凝聚态物理，大统一之路，科幻小说，影视鉴赏。,2021-12-17 20:06:19
254,眼见为识,物理学硬核科普up,[B站](https://space.bilibili.com/430948380),斯巴达117士官长,视频长而质量极高，硬核科普，如果看不大懂就多看几遍，强烈推荐,2021-02-07 00:00:00
255,薛定饿了么,物理，数学,[B站](https://space.bilibili.com/44473221),萌萌哒的酸奶片,通过生动有趣的科普视频来介绍数学以及物理学中的各种深奥而又有趣的内容,2020-02-08 00:00:00
256,《洞察社会系列》,王小七Fire,[B站](https://space.bilibili.com/680677803),---boom,不定期带你深度思考某个社会事件，锻炼独立思维，杜绝人云亦云。,2022-02-13 22:37:58
257,猫盟CFCA,环境保护,[B站](https://space.bilibili.com/421653798),西风塞马,猫盟是国内做动物保护知名度比较高的民间组织，在这里可以看到野生动物保护的一些知识, 
258,纳米比亚海洋保护队,环境保护,[B站](https://space.bilibili.com/2014688638),西方塞马,在这里可以看到帮助海狮摆脱海洋垃圾困扰的工作日常，非常治愈！, 
259,方猫boom,生活用品科普,[B站](https://space.bilibili.com/138624168),西风塞马, , 
260,不务正业的李雷,生活科普,B站,赵阙, ,2021-02-09 00:00:00
261,生命中国,生物,[B站](https://space.bilibili.com/19553447),天気,转载很多生物类的相关课程，自己也会录一些视频。学生物的必关注的UP,2021-01-17 00:00:00
262,芳斯塔芙,生物,[B站](https://space.bilibili.com/72270557),_氧十六_,真的好看！,2021-01-15 00:00:00
263,萝王2号,生物/昆虫,[B站](https://space.bilibili.com/11264229),光脉之酒,昆虫学研究者，节肢动物和爬宠饲养者，讲述昆虫和自然的故事。,2021-12-17 20:37:11
264,酋知鱼,生物/物理/人文,[B站](https://space.bilibili.com/356399722),光脉之酒,一条在知识的海洋中溺水的鱼，从多元视角来探索世界，很有启发性。（注：转场BGM很魔性）,2021-12-17 20:54:46
265,生物dalao,生物专业课程,[B站](https://space.bilibili.com/199898430),milayna,目前接触到的最好的生物系统课程资源，大咖云集，头脑风暴，前沿汇集,2021-12-21 18:59:50
266,学生化的秃哥哥,生物化学,[B站](https://space.bilibili.com/358012574),南初Nancy,真的是一个宝藏博主 感觉很细心而且课程还挺有趣并且免费啊！！！,2021-12-16 22:03:00
267,生物化学online,生物化学,[B站](https://space.bilibili.com/646522988),sylvanaskk,讲得很好的小姐姐，虽然是考研生化但是对普通人了解身体机制也有帮助,2022-01-03 08:49:45
268,爱看报的Kris,生物医学,[B站](https://space.bilibili.com/405504949),光脉之酒,女装大佬，在美生物医学博士留学生，癌症、衰老领域大佬。（注：up主推荐区还有一个”有轶见的Kris“，请让他们在表格中相邻）,2021-12-17 20:14:57
269,唐老师讲电赛,电子信息工程硬件类实操,其他,我就一位刚刚入门普通工程师, , 
270,硬核麻将,电子音乐，编曲,[B站](https://space.bilibili.com/14321190),Alan FEVM,讲解很厉害的操作，深入混音，告别野鸡教程,2021-02-08 00:00:00
271,一钵盆景,盆景,B站,穗花婆婆,UP主主要讲述的是盆景的制作,2021-12-19 17:05:40
272,子小孙的老年生活,知识,[B站](https://space.bilibili.com/312098823),CNtei,致力于把所有粉丝都培养成文化流氓 <(￣︶￣)>,2021-12-15 21:00:24
273,碳十二,知识,B站,UID:1294084223, ,2021-12-17 00:35:04
274,碳十二,知识,B站,樱桃小伙子, ,2021-12-19 02:00:56
275,碳十二,知识,B站,过柱大王,很棒的分享,2021-12-18 21:53:27
276,心医林霖,知识区,[B站](https://space.bilibili.com/492808243),于阳阳阳阳,缓存区UP，强烈推荐，知识涉及到各个方面,2021-12-16 19:47:11
277,碳十二,知识普及,B站,夜猫子路过,了解有没有自己喜欢专业课,2022-01-02 15:28:11
278,我是江无情,硬核辟谣,[B站](https://space.bilibili.com/486633990/video),斯巴达117士官长,可以帮助各位揭开神秘谣言的真相,2021-02-07 00:00:00
279,-绅士法则-,礼仪,[B站](https://space.bilibili.com/1788918384),CNtei,你好，绅士！,2022-01-01 02:29:09
280,梁永安,社会,[B站](https://space.bilibili.com/699492406),CNtei,热爱大地，复旦大学中文系教授,2021-12-15 21:12:27
281,学院派Academia,社会学科普,[B站](https://space.bilibili.com/96639395),弦鱼,超长，一次爽到，社会学科普向,2021-01-16 00:00:00
282,社会设计在中国,社会设计,[B站](https://space.bilibili.com/511277177),Fantasy,央美子书老师组织的关于社会设计的系列讲座，是对这个方向的研究入门系列。目前还在持续更新中。,2021-12-26 23:53:13
283,碳十二,社科,B站,一叙, ,2021-12-29 06:03:58
284,大又元,社科/法律/心理,[B站](https://space.bilibili.com/149309196),多折脑褶,知识分享，书籍推荐，社会讨论，背景音乐易进心流,2021-12-20 02:11:01
285,马督工,社科人文/时政,[其他](https://space.bilibili.com/316568752),怎样起一个名字呢,这个人（或者说这个团队）争议很大，不过我还是推荐一下，他对于时政要闻的点评与分析，不能说一定正确，但是观点通常很新颖，可作参考（他没有课程）,2021-12-19 17:30:23
286,王木头学科学,神经网络与深度学习,[B站](https://space.bilibili.com/504715181/video),谢金方和,王木头以一个初学者的视角对神经网络的基本概念，工作模式与原理进行了深度的剖析与讲解，不仅传授神经网络的知识，更传授了如何接受新的，抽象的，难理解的知识，如何搭建知识体系。,2021-12-19 23:49:53
287,WhatOnEarth一探究竟,科普,[B站](https://space.bilibili.com/410527811),CNtei,有趣知识，文化故事，科技解释，尽在【一探究竟】,2021-12-15 21:27:45
288,_碳十二_,科普,B站,Yt,优质课程资源库, 
289,_碳十二_,科普,B站,t w l s h r, ,2021-12-16 11:48:54
290,_碳十二_,科普,B站,张豪豪, ,2021-12-17 20:22:06
291,up,科普,其他,123, ,2021-12-18 20:27:37
292,两颗熟李子,科普,[B站](https://space.bilibili.com/594380494),多折脑褶,硬核科普，通过多渲染引擎梦幻联动讲述一些复杂或难以理解的理论，虽视频产出较少，但每个都精彩，理工最爱,2021-12-20 02:32:41
293,严伯钧,科普,[其他](https://www.douyin.com/user/MS4wLjABAAAA6cLFP6uL4NmSxtnd9miQb-9S6GweLvikkmvKKFUT74A),15083426321,不止是科普作家☝🏻️||主要聊科学，偶尔聊文艺，,2021-12-23 18:36:45
294,司马南,科普,其他,112d, ,2021-12-20 16:12:49
295,听君一席课,科普,[B站](https://space.bilibili.com/36234806),多折脑褶,国内外大学课程分享,2021-12-20 01:58:18
296,幻海航行,科普,[B站](https://space.bilibili.com/193147738), , ,2021年1月18日14:20:21
297,所长林超,科普,B站,荔枝RIO,up主结合时事分析当前世界发展态势，逻辑清晰，思路明确，每次看完都感觉豁然开朗~, 
298,文曰小强,科普,[B站](https://space.bilibili.com/19456751), ,科普类小说导读||带你感受工业文学之美,2021年1月18日14:20:21
299,李永乐老师官方,科普,[B站](https://space.bilibili.com/9458053),杨辰逸,通俗易懂，严谨有趣,2021-12-25 15:20:52
300,杜滑滑,科普,B站,青蛙外婆,有很多好看的纪录片，IMAX、Netflix、探索频道、CCTV等~一起看起来呀, 
301,果壳,科普,[B站](https://space.bilibili.com/205631797),CNtei,果壳网官方账号,2021-12-15 21:35:02
302,柴知道,科普,[B站](https://space.bilibili.com/26798384),CNtei,好看不火的UP主柴柴,2021-12-15 21:28:56
303,毕导THU,科普,[B站](https://space.bilibili.com/254463269),_碳十二_,总之很有意思！,2021-01-14 00:00:00
304,猎手吧,科普,B站,青蛙外婆,有蛮多好看的有意思的纪录片，涉及的领域也很广，值得一看，可以学到很多知识~, 
305,画渣花小烙,科普,B站,47321330668_bili, ,2021-12-18 22:46:21
306,眼见为实,科普,B站,47321330668_bili, ,2021-12-18 22:41:49
307,碳十二,科普,B站,欧文阿, ,2021-12-19 15:38:09
308,秋雾雾,科普,[B站](https://docs.qq.com/sheet/DRU5MWHZCTHFGQnhM?tab=qb1sze),欣怡,很好,2021-12-19 10:49:18
309,科学声音,科普,[B站](https://space.bilibili.com/355126576),远志学,科普知识,2021-01-19 00:00:00
310,科普中国,科普,[B站](https://space.bilibili.com/92601724),CNtei,让科技知识在生活中流行,2021-12-15 20:32:27
311,科普中国官方平台,科普,[B站](https://space.bilibili.com/652531714),CNtei,中国科协官方账号,2021-12-15 20:37:17
312,纪录片之家字幕组,科普,B站,青蛙外婆,很多纪录片资源哦，且个人感觉这些纪录片还蛮小众的，精致的美, 
313,老龙山下的狐狸,科普,[B站](https://space.bilibili.com/98694531),阿威不会武功,懂得越多，未解之谜越少,2021-12-19 15:58:15
314,蔻享学术,科普,[B站](https://space.bilibili.com/518715663),多折脑褶,全科学术分享，APP内含各个报告会直播，产学研，此up在b站建设目前不完善,2021-12-20 01:43:33
315,视知,科普,[B站](https://space.bilibili.com/40277880),CNtei,理解复杂世界,2021-12-15 21:58:04
316,回到2049,科普/历史,[B站](https://www.bilibili.com/video/BV1EY411W7D7),喜欢你的狮子,民族脊梁：鲁迅,2021-12-21 15:40:57
317,回到2049,科普/社会/历史/,[B站](https://space.bilibili.com/58617276),大齐,思维启发，多种思考角度。,2021-12-23 18:28:42
318,历史启示录,科普、历史,B站,青蛙外婆,详细分类介绍了很多个国家的历史（纪录片的形式），可以进主页找一下有没有感兴趣的~, 
319,思维实验室,科普、历史、生物,B站,47321330668_bili, ,2021-12-18 22:39:05
320,技术研究院,科普、电气技术知识、技能培训、自动化知识,[B站](https://space.bilibili.com/505804338),https://space.bilibili.com/505804338,ABplc讲的不错，直播内容解答详细！后续会退出更多技能方面的免费知识。,2022-01-03 00:59:21
321,小宇Boi,科普搞机,B站,47321330668_bili, ,2021-12-18 22:47:00
322,吟游诗人基德,科普生物学、地理学、金融等等类别,B站,47321330668_bili, ,2021-12-18 22:45:12
323,灰细胞,科普生物学知识,B站,47321330668_bili,有些（很多）视频看会脸红☺,2021-12-18 22:43:30
324,老K的无聊杂谈,科普类up,[B站](https://space.bilibili.com/2066911559),black_xiu,"主要讲中国自建国以来的几场工业,科技,经济领域的崛起,能让人看的热血沸腾",2021-12-19 18:15:57
325,理工男验光师商思林,科普，分享心得,[B站](https://space.bilibili.com/437446622),卖橘子的名字,他给大家提供了一些程序的相关心得以及经验【当时查嵌入式的时候查到的】是一位学习力很强的老师👍,2021-12-29 20:41:57
326,陆铭教授,空间经济学，计量经济学,[B站](https://space.bilibili.com/508835396),还和你说,强烈推荐其《大国大城》一书！！！,2021-02-08 00:00:00
327,知识课代表,笔记,[B站](https://space.bilibili.com/556704202/article),多折脑褶,记罗老师、兔妈、狐主任的笔记，给出一种b站笔记的实用方法,2021-12-20 03:14:38
328,奇客张小呆,笔记、学习类,[B站](https://www.bilibili.com/video/BV19E411y7b2),五姨,乍一看可能有点浮夸，但是当初他指导着改笔记的视频确实给了我很多启发，包括对费曼学习法等的讲解，让我在学习计划的安排上有了新的认识,2021-12-20 16:28:31
329,动画讲编程,算法以及计算机语言,[B站](https://space.bilibili.com/526619673),假动作丶False,用动画讲编程，非常有意思且易理解,2021-02-07 00:00:00
330,女王泡面,红楼梦人物解说,[B站](https://space.bilibili.com/2539073),且月,女王泡面真的是对红楼梦的人物剖析很有意思，让你get到绝对不一样的红楼,2021-12-28 16:45:06
331,哔哩哔哩纪录片,纪录片,B站,青蛙外婆,纪录片的资源非常多~打开它，就看见了更大的世界，喜欢探索的小伙伴，冲鸭, 
332,青蛙刀圣_1993,经典电影、小说结合现实、历史后的深度解读，。,[B站](https://space.bilibili.com/17588331),王权予之,相信我，绝对能在趣味中学到很多知识。（灵魂画手，看了就知道什么意思）, 
333,经济研究室-祈祷,经济,B站,星海的游吟诗人,目前在做经济类巨著的解读，也有在讲中国古代的经济思想，我一个外行人感觉受益匪浅,2021-01-18 00:00:00
334,Krenz官方账号,绘画,[B站](https://space.bilibili.com/181578039),小皮球菌, ,2021-02-07 00:00:00
335,k大,绘画,B站,于笙, ,2021-12-18 02:23:21
336,画画的Angela,绘画,[B站](https://space.bilibili.com/411442559),小皮球菌, ,2021-02-07 00:00:00
337,Ksr桑,绘画教学,[B站](https://space.bilibili.com/1848018),小鳥遊ＬＦ,很有趣的一个up主 画画技术也是非常厉害的 有兴趣的小伙伴可以康康,2021-02-08 00:00:00
338,画画的番木,绘画教学,B站,一芽二哟哦,一个超级好的绘画教学博主！入门自学画画的可以去康康: https://b23.tv/C4eUeC 我是这个视频入坑的,2021-02-08 00:00:00
339,正月点灯笼,编程,B站,Thello,尽管计算机和编程什么的跟我自己的专业顶多半毛钱关系，但是我觉得他讲东西和解释都非常清楚，有时甚至都觉得我看上瘾了。,2021-02-07 00:00:00
340,轻松的小希,编程,[其他](https://blog.csdn.net/qq_38490457/article/details/108281646),笨笨就喜欢这样的你,Java后端这种知识总结一篇就够,2021-01-17 00:00:00
341,韩顺平,编程,[B站](https://www.bilibili.com/video/BV1fh411y7R8),一入辕门深四海,无论是编程小白还是初级开发都非常适用,2021-12-18 08:38:17
342,鱼C-小甲鱼,编程,[B站](https://www.bilibili.com/video/BV17s411N78s),htfc786,very good，篇向c语言初学者,2022-01-01 15:26:06
343,刑法学,罗翔,B站,843022356@qq.com, ,2022-02-03 22:34:01
344,程十安,美妆,B站,嗯,看就对了,2021-12-18 12:52:09
345,婆婆町,翻译,[B站](https://www.bilibili.com/video/BV1ib411t7YR),河边洗脚人,声译3B1BUp的视频，给我这种英盲提供了很大的帮助,2021-12-23 22:17:32
346,2个视频所有都好,老奇好好奇,[B站](https://www.bilibili.com/video/BV1fq4y1g7hq),韩萧521,up主深根通信领域4个月调研了华为关于5G的极化码背后的故事，并用通俗易懂的方式让我们听懂。也可以用他的思路快速了解一个领域，强烈推荐！！！第一个视频700多万播放量,2022-03-18 23:11:28
347,空卡空卡空空卡,考研,[B站](https://space.bilibili.com/16671656),有才华的赵小黑,卡子姐知识区考研UP主，从考研准备初期一直到最后“肖四阶段”给出实用的复习建议，全覆盖全方位全链条的帮助考研同学解决一切考研问题，这是考研同学的主心骨，人美心善的“大”姐姐！,2021-12-29 11:58:10
348,鹅姐职场,职场,[B站](https://space.bilibili.com/109606796),Jimlin,干活满满的职场up主，应届生可以通过这个提前了解和学习，职场老油条可以反思自己的职业生涯，人总是需要有别人提醒你改进的。, 
349,王一快,职场/法律,[B站](https://space.bilibili.com/46394862),今年要上岸！,在校或是刚入职场的UU们，这位宝藏up主你值得拥有，有趣搞笑又干货满满，教你职业选择，传授职场技巧！, 
350,阪神电车,自体心理学,[B站](https://space.bilibili.com/527581294),CNtei,自体心理学解读,2021-12-15 21:06:07
351,杨真直,自制力，管理，学习，习惯，拿高分，,[B站](https://space.bilibili.com/547173382),无聊の暮庆, ,2021-02-07 00:00:00
352,李船长笔记,航海,[B站](https://space.bilibili.com/496070561),圍觀人類,航海知识科普，漂洋过海看世界，各国真实游记,2021-12-22 11:11:49
353,谢拉克洛瓦,艺术建筑,B站,谢不肉,b站最好的艺术博主！文案超级棒！快来关注！, 
354,小明同学不懂艺术,艺术，尤其是美术画作,[B站](https://space.bilibili.com/548968293),憨厚的羞涩长耳兔,带你追本溯源一些画作的历史故事，揭开他们的真正面目, 
355,游戏史,芒果冰ol,[B站](https://space.bilibili.com/617285),P_M_sky,学到很多关于游戏的知识，对想从事游戏行业的人有帮助,2022-02-05 10:54:30
356,Carrie王脑思,英语,[B站](https://space.bilibili.com/471737270),小皮球菌, ,2021-02-07 00:00:00
357,FanfaniShare,英语,B站,刘乐嘉Leo,在美国教英语的中国人，说得一口非常好听的英音,2021-12-26 14:27:36
358,Lucy,英语,B站,小皮球菌,跟着美女Lucy学英语 （中英字幕）,2021-02-07 00:00:00
359,Nickcen英语课堂,英语,B站,柳安,我直到毕业英语都没学明白，在这听明白了，没有英语体系、英语基础很差、英语小白的朋友可以看看，视频基本都2小时以上，但都很值得听,2021-12-27 20:03:03
360,佛系考试君宝宝,英语,[B站](https://space.bilibili.com/27767606),维瓦尔第, ,2021-12-25 11:12:32
361,八哥smile,英语,[B站](https://space.bilibili.com/384234870),哼文,疯癫和逗比的风格, 
362,哈佛雪梨,英语,B站,刘乐嘉Leo,哈佛大学语言教育硕士，原流利说教研负责人，非常好听的英音,2021-12-26 14:23:46
363,英语兔,英语,[B站](https://space.bilibili.com/483162496),Timeless,在英语语音方面极好，学英语必看,2021-01-18 00:00:00
